sample_id	tissue	genotype	condition	R1_path	R2_path
SRR7821918	lung	WT	Disease	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821918_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821918_2.fastq.gz
SRR7821919	lung	WT	Disease	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821919_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821919_2.fastq.gz
SRR7821920	lung	WT	Disease	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821920_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821920_2.fastq.gz
SRR7821921	lung	WT	Disease	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821921_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821921_2.fastq.gz
SRR7821922	lung	WT	Disease	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821922_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821922_2.fastq.gz
SRR7821923	lung	WT	Disease	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821923_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821923_2.fastq.gz
SRR7821924	lung	DoubleKO	Disease	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821924_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821924_2.fastq.gz
SRR7821925	lung	DoubleKO	Disease	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821925_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821925_2.fastq.gz
SRR7821927	lung	DoubleKO	Disease	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821927_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821927_2.fastq.gz
SRR7821937	lung	WT	Control	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821937_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821937_2.fastq.gz
SRR7821938	lung	WT	Control	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821938_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821938_2.fastq.gz
SRR7821939	lung	WT	Control	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821939_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821939_2.fastq.gz
SRR7821940	lung	DoubleKO	Control	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821940_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821940_2.fastq.gz
SRR7821941	lung	DoubleKO	Control	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821941_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821941_2.fastq.gz
SRR7821942	lung	DoubleKO	Control	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821942_1.fastq.gz	/data/users/gercan/rna_seq_toxoplasma_lung/data/raw_data/SRR7821942_2.fastq.gz
